DATE,PLAT,PLAT_peak,ATPL,ATPL_peak
2020-03-29 02:05:00,7.6605831676e+08,7.6605831676e+08,2.5291785603e+07,2.5291785603e+07
2020-03-29 02:10:00,2.8617029016e+08,2.8617029016e+08,4.3634621759e+07,4.3634621759e+07
2020-03-29 02:15:00,2.4021254692e+08,2.4021254692e+08,3.9962039282e+07,3.9962039282e+07
2020-03-29 02:20:00,3.2655978881e+08,3.2655978881e+08,1.5585793586e+08,1.5585793586e+08
2020-03-29 02:25:00,3.6304896856e+08,3.6304896856e+08,8.4144410053e+07,8.4144410053e+07
2020-03-29 02:30:00,1.6517747066e+08,1.6517747066e+08,4.5519473415e+07,4.5519473415e+07
2020-03-29 02:35:00,1.6985280601e+08,1.6985280601e+08,4.4443320686e+07,4.4443320686e+07
2020-03-29 02:40:00,1.5326161340e+08,1.5326161340e+08,5.0405696809e+07,5.0405696809e+07
2020-03-29 02:45:00,1.5196272168e+08,1.5196272168e+08,5.5615757297e+08,5.5615757297e+08
2020-03-29 02:50:00,1.5582278485e+08,1.5582278485e+08,2.4493157195e+07,2.4493157195e+07
2020-03-29 02:55:00,1.5643089592e+08,1.5643089592e+08,2.5554138495e+07,2.5554138495e+07
2020-03-29 03:00:00,1.3454965534e+08,1.3454965534e+08,2.8259823023e+07,2.8259823023e+07
2020-03-29 03:05:00,1.3110663053e+08,1.3110663053e+08,2.7076645483e+07,2.7076645483e+07
2020-03-29 03:10:00,1.4347192467e+08,1.4347192467e+08,1.9828346279e+07,1.9828346279e+07
2020-03-29 03:15:00,7.3044133822e+08,7.3044133822e+08,2.3076976084e+07,2.3076976084e+07
2020-03-29 03:20:00,1.4221069628e+08,1.4221069628e+08,1.9961274059e+07,1.9961274059e+07
2020-03-29 03:25:00,6.3931251676e+08,6.3931251676e+08,1.6885391553e+07,1.6885391553e+07
2020-03-29 03:30:00,1.5287302322e+08,1.5287302322e+08,1.5774345400e+07,1.5774345400e+07
2020-03-29 03:35:00,1.2224553841e+08,1.2224553841e+08,1.6421708314e+07,1.6421708314e+07
2020-03-29 03:40:00,1.5169997731e+08,1.5169997731e+08,1.3076786511e+07,1.3076786511e+07
2020-03-29 03:45:00,1.7640782186e+08,1.7640782186e+08,1.1354981382e+08,1.1354981382e+08
2020-03-29 03:50:00,1.3963819889e+08,1.3963819889e+08,1.0762412892e+07,1.0762412892e+07
2020-03-29 03:55:00,1.5778755596e+08,1.5778755596e+08,1.5659607839e+07,1.5659607839e+07
2020-03-29 04:00:00,1.3060899073e+08,1.3060899073e+08,2.3704308581e+07,2.3704308581e+07
2020-03-29 04:05:00,1.1815528787e+08,1.1815528787e+08,1.6899523200e+07,1.6899523200e+07
2020-03-29 04:10:00,1.6386288345e+08,1.6386288345e+08,1.6619534598e+07,1.6619534598e+07
2020-03-29 04:15:00,1.5328931416e+08,1.5328931416e+08,1.4317290689e+07,1.4317290689e+07
2020-03-29 04:20:00,1.0865987672e+08,1.0865987672e+08,1.8200468053e+07,1.8200468053e+07
2020-03-29 04:25:00,1.1513478547e+08,1.1513478547e+08,1.1711855544e+08,1.1711855544e+08
2020-03-29 04:30:00,1.1139161937e+08,1.1139161937e+08,1.8774413583e+07,1.8774413583e+07
2020-03-29 04:35:00,1.0882032479e+08,1.0882032479e+08,1.4255386183e+07,1.4255386183e+07
